698 79.2028
JAR_368 81 42.37064
JAR_369 62 30.89264
JAR_370 116 26.818033
JAR_371 74 10.610197
JAR_372 98 16.7656
JAR_373 55 5.8757877
JAR_374 24 33.380936
JAR_375 72 33.277405
JAR_376 84 45.168385
JAR_377 115 38.643967
JAR_378 23 36.582973
JAR_379 72 46.211216
JAR_380 71 37.570957
JAR_381 103 6.3348007
JAR_382 39 44.878723
JAR_383 62 6.047027
JAR_384 65 34.14459
JAR_385 38 50.7656
JAR_386 26 18.563833
JAR_387 30 18.227581
JAR_388 48 22.196383
JAR_389 101 10.239882
JAR_390 39 6.368667
JAR_391 61 4.9087963
JAR_392 74 10.906397
JAR_393 82 7.3353906
JAR_394 54 22.123419
JAR_395 22 12.741016
JAR_396 73 24.183317
JAR_397 71 9.417762
JAR_398 61 46.44503
JAR_399 22 9.682371
JAR_400 107 43.901505
JAR_401 78 38.948967
JAR_402 111 38.221348
JAR_403 74 33.52584
JAR_404 61 51.20734
JAR_405 114 4.584678
JAR_406 69 7.392899
JAR_407 90 28.64671
JAR_408 56 18.607773
JAR_409 94 34.9797
JAR_410 119 8.157655
JAR_411 81 2.8020046
JAR_412 109 26.178907
JAR_413 30 4.1455994
JAR_414 21 27.149195
JAR_415 50 20.038605
JAR_416 95 21.157595
JAR_417 31 28.029684
JAR_418 114 10.463663
JAR_419 96 20.291626
JAR_420 72 35.50385
JAR_421 119 31.209463
JAR_422 113 29.735899
JAR_423 67 33.379738
JAR_424 70 47.24703
JAR_425 33 35.121735
JAR_426 48 35.990124
JAR_427 29 34.12906
JAR_428 70 18.053642
JAR_429 97 10.570429
JAR_430 49 47.915596
JAR_431 53 31.982248
JAR_432 20 36.679695
JAR_433 35 48.182384
JAR_434 51 43.74262
JAR_435 107 26.574469
JAR_436 53 49.095436
JAR_437 98 23.00514
JAR_438 105 18.619255
JAR_439 32 37.88282
JAR_440 110 2.6954415
JAR_441 118 45.565933
JAR_442 94 15.314224
JAR_443 42 21.980928
JAR_444 92 13.631859
JAR_445 96 29.136023
JAR_446 110 51.49627
JAR_447 40 9.255283
JAR_448 85 25.23378
JAR_449 114 50.269474
JAR_450 116 33.56546
JAR_451 82 45.26502
JAR_452 32 28.600569
JAR_453 99 11.910567
JAR_454 22 16.33679
JAR_455 110 40.251724
JAR_456 43 31.182076
JAR_457 107 3.9889476
JAR_458 49 52.10147
JAR_459 43 5.2309628
JAR_460 77 49.2836
JAR_461 78 50.34666
JAR_462 30 14.0163
JAR_463 95 36.822124
JAR_464 32 2.8585145
JAR_465 95 46.966232
JAR_466 114 48.096508
JAR_467 39 41.398254
JAR_468 26 19.376438
JAR_469 59 42.39391
JAR_470 35 12.412466
JAR_471 86 22.762505
JAR_472 54 24.779825
JAR_473 36 49.37722
JAR_474 99 19.815653
JAR_475 95 26.182829
JAR_476 49 26.066898
JAR_477 54 25.960983
JAR_478 63 6.7442546
JAR_479 59 24.341593
JAR_480 105 40.46378
JAR_481 61 10.210918
JAR_482 24 8.383816
JAR_483 39 43.581715
JAR_484 111 24.073742
JAR_485 57 46.458984
JAR_486 67 11.783304
JAR_487 117 20.855993
JAR_488 115 11.816445
JAR_489 75 15.489588
JAR_490 91 15.551998
JAR_491 109 23.211237
JAR_492 29 26.39507
JAR_493 68 6.9108243
JAR_494 53 14.18758
JAR_495 61 38.06389
JAR_496 28 45.054214
JAR_497 117 37.97986
JAR_498 90 48.310825
JAR_499 107 43.048714
JAR_500 101 17.916477
JAR_501 94 39.276615
JAR_502 89 13.207282
JAR_503 60 51.047253
JAR_504 80 47.110588
JAR_505 114 14.444894
JAR_506 33 8.201332
JAR_507 85 44.027664
JAR_508 35 27.928984
JAR_509 76 37.54508
JAR_510 49 21.513018
JAR_511 51 29.952564
JAR_512 115 15.477739
JAR_513 87 20.88755
JAR_514 119 15.273031
JAR_515 81 8.136561
JAR_516 72 28.106716
JAR_517 90 19.840971
JAR_518 35 51.796253
JAR_519 29 51.660065
JAR_520 104 12.432834
JAR_521 65 7.134564
JAR_522 120 12.439235
JAR_523 72 10.071068
JAR_524 107 40.694363
JAR_525 71 11.398529
JAR_526 31 12.192011
JAR_527 76 41.331497
JAR_528 100 3.1991096
JAR_529 36 39.811752
JAR_530 23 9.679642
JAR_531 90 14.189803
JAR_532 92 20.854397
JAR_533 119 38.35092
JAR_534 43 49.173855
JAR_535 74 41.5864
JAR_536 89 45.391735
JAR_537 108 2.0602186
JAR_538 76 19.040203
JAR_539 52 6.723625
JAR_540 56 51.824062
JAR_541 120 1.4857149
JAR_542 65 29.771116
JAR_543 64 8.956864
JAR_544 94 34.598434
JAR_545 117 6.843592
JAR_546 84 13.880234
JAR_547 50 27.188425
JAR_548 90 6.4321117
JAR_549 55 19.916376
JAR_550 25 35.558414
JAR_551 85 35.370876
JAR_552 54 6.4448504
JAR_553 36 10.496266
JAR_554 29 40.616814
JAR_555 56 22.05144
JAR_556 49 34.425346
JAR_557 24 39.11976
JAR_558 78 47.267414
JAR_559 52 45.614105
JAR_560 70 46.09472
JAR_561 39 37.26266
JAR_562 29 46.91642
JAR_563 91 8.00108
JAR_564 38 3.1548817
JAR_565 53 11.48964
JAR_566 55 25.570868
JAR_567 26 22.420252
JAR_568 25 36.034767
JAR_569 51 14.477498
JAR_570 113 16.283875
JAR_571 101 6.1702724
JAR_572 100 20.572197
JAR_573 118 8.156235
JAR_574 68 3.288916
JAR_575 21 15.339906
JAR_576 67 37.2944
JAR_577 68 13.537101
JAR_578 48 24.298502
JAR_579 104 29.463316
JAR_580 75 14.184953
JAR_581 50 31.22176
JAR_582 84 9.467659
JAR_583 92 10.337891
JAR_584 63 47.250145
JAR_585 62 50.21169
JAR_586 81 36.947598
JAR_587 45 46.036263
JAR_588 97 33.22257
JAR_589 72 13.761994
JAR_590 29 4.8799825
JAR_591 70 44.86917
JAR_592 23 31.764875
JAR_593 44 34.24872
JAR_594 25 41.007137
JAR_595 116 47.180798
JAR_596 32 17.161573
JAR_597 94 33.243866
JAR_598 86 8.498661
JAR_599 81 29.783226
JAR_600 100 52.111763
JAR_601 26 47.817204
JAR_602 64 19.119757
JAR_603 84 40.06165
JAR_604 59 30.9607
JAR_605 47 45.809036
JAR_606 107 30.191725
JAR_607 103 21.906984
JAR_608 35 50.63305
JAR_609 30 3.7430744
JAR_610 104 51.719997
JAR_611 90 42.25752
JAR_612 106 17.955782
JAR_613 92 39.173527
JAR_614 22 40.490078
JAR_615 109 49.556244
JAR_616 112 38.983532
JAR_617 104 42.985565
JAR_618 36 7.1568274
JAR_619 55 52.455498
JAR_620 109 19.46438
JAR_621 46 14.193335
JAR_622 75 3.077415
JAR_623 53 29.625603
JAR_624 34 47.70886
JAR_625 81 4.104578
JAR_626 64 25.563417
JAR_627 49 22.949043
JAR_628 43 14.650195
JAR_629 93 25.946089
JAR_630 34 46.952362
JAR_631 36 7.1069465
JAR_632 117 16.70855
JAR_633 43 42.369095
JAR_634 116 26.624178
JAR_635 78 13.489419
JAR_636 70 21.897245
JAR_637 113 2.1787012
JAR_638 44 34.412907
JAR_639 22 24.486403
JAR_640 102 11.333814
JAR_641 39 13.05659
JAR_642 40 11.089076
JAR_643 25 39.14071
JAR_644 53 25.643791
JAR_645 89 31.67104
JAR_646 56 38.213108
JAR_647 24 5.7698417
JAR_648 89 20.270119
JAR_649 91 4.3934717
JAR_650 86 1.785208
JAR_651 117 48.18829
JAR_652 98 10.826059
JAR_653 42 19.565626
JAR_654 86 9.342035
JAR_655 50 39.886875
JAR_656 93 27.754524
JAR_657 62 45.08652
JAR_658 53 8.87564
JAR_659 34 4.4508624
JAR_660 50 27.981691
JAR_661 39 17.813335
JAR_662 60 46.17499
JAR_663 115 11.823395
JAR_664 107 26.677794
JAR_665 21 38.095356
JAR_666 43 45.01552
JAR_667 63 48.345978
JAR_668 28 6.863
JAR_669 23 25.185123
JAR_670 89 8.147025
JAR_671 106 43.53259
JAR_672 101 49.521248
JAR_673 59 48.895924
JAR_674 70 10.8554325
JAR_675 75 44.15908
JAR_676 111 11.109951
JAR_677 27 51.999763
JAR_678 22 38.598656
JAR_679 33 26.074514
JAR_680 21 37.578415
JAR_681 100 50.484974
JAR_682 73 40.842064
JAR_683 51 26.86607
JAR_684 54 36.232944
JAR_685 102 13.517588
JAR_686 39 21.743912
JAR_687 110 12.834158
JAR_688 33 35.811417
JAR_689 70 22.875593
JAR_690 91 52.466087
JAR_691 51 35.159386
JAR_692 68 43.455338
JAR_693 33 41.950275
JAR_694 115 51.41062
JAR_695 27 11.768022
JAR_696 52 20.792143
JAR_697 63 22.333717
JAR_698 41 12.307326
JAR_699 97 23.227587
JAR_700 24 49.86575
JAR_701 71 11.536629
JAR_702 23 39.102943
JAR_703 71 23.129225
JAR_704 25 2.978173
JAR_705 57 40.80567
JAR_706 57 21.12721
JAR_707 25 30.838476
JAR_708 21 44.030125
JAR_709 42 46.534363
JAR_710 120 26.036213
JAR_711 115 40.521122
JAR_712 105 18.573484
JAR_713 30 40.286743
JAR_714 25 38.458458
JAR_715 52 21.77571
JAR_716 75 9.21355
JAR_717 87 37.077934
JAR_718 54 44.893997
JAR_719 61 40.92943
JAR_720 66 36.623905
JAR_721 28 33.880733
JAR_722 89 41.842045
JAR_723 92 31.878946
JAR_724 77 28.561869
JAR_725 67 35.352367
JAR_726 70 18.657457
JAR_727 66 40.682877
JAR_728 117 12.197345
JAR_729 34 34.00057
JAR_730 53 30.76145
JAR_731 99 36.7375
JAR_732 73 36.193024
JAR_733 107 18.7331
JAR_734 29 29.956974
JAR_735 103 37.792374
JAR_736 57 8.698786
JAR_737 84 47.259888
JAR_738 45 3.5241306
JAR_739 71 26.387506
JAR_740 108 9.3482
JAR_741 101 20.241856
JAR_742 22 11.896001
JAR_743 111 20.218681
JAR_744 27 4.5700464
JAR_745 84 39.105675
JAR_746 84 35.3403
JAR_747 58 4.862623
JAR_748 96 11.6526985
JAR_749 56 36.3685
JAR_750 110 14.597233
JAR_751 90 14.4186125
JAR_752 100 25.624302
JAR_753 84 47.741882
JAR_754 106 21.548954
JAR_755 41 42.848213
JAR_756 47 10.536607
JAR_757 100 45.708958
JAR_758 43 47.121006
JAR_759 70 45.919735
JAR_760 71 13.065375
JAR_761 43 11.294096
JAR_762 98 35.041157
JAR_763 24 49.989075
JAR_764 32 7.4652185
JAR_765 120 10.169109
JAR_766 20 33.40598
JAR_767 31 37.573605
JAR_768 93 17.141794
JAR_769 50 52.065193
JAR_770 86 41.030617
JAR_771 84 10.700678
JAR_772 98 44.92922
JAR_773 78 38.284718
JAR_774 23 10.4820795
JAR_775 106 30.237503
JAR_776 99 23.88561
JAR_777 44 12.332026
JAR_778 27 20.821495
JAR_779 33 42.233902
JAR_780 111 13.244641
JAR_781 50 18.10737
JAR_782 83 30.305696
JAR_783 118 33.334698
JAR_784 74 4.885989
JAR_785 83 11.533125
JAR_786 69 17.223505
JAR_787 57 44.14331
JAR_788 72 52.312588
JAR_789 40 27.806435
JAR_790 27 47.36717
JAR_791 110 43.94321
JAR_792 21 10.547562
JAR_793 117 49.79741
JAR_794 99 24.664265
JAR_795 43 42.10892
JAR_796 44 34.988716
JAR_797 118 10.63703
JAR_798 66 22.920527
JAR_799 115 3.5631073
JAR_800 71 24.683538
JAR_801 108 17.26391
JAR_802 66 6.1489277
JAR_803 97 20.561516
JAR_804 54 4.512489
JAR_805 33 22.424017
JAR_806 51 14.985479
JAR_807 103 26.012299
JAR_808 81 16.4936
JAR_809 51 32.242535
JAR_810 105 11.417058
JAR_811 49 39.261444
JAR_812 111 1.3461819
JAR_813 63 51.211994
JAR_814 69 23.271708
JAR_815 80 50.00087
JAR_816 87 10.376548
JAR_817 48 5.2658052
JAR_818 107 11.546793
JAR_819 42 43.880943
JAR_820 91 23.273684
JAR_821 21 50.33133
JAR_822 120 25.075382
JAR_823 66 19.333904
JAR_824 42 45.327705
JAR_825 79 44.98165
JAR_826 109 39.95626
JAR_827 120 11.839998
JAR_828 52 41.80903
JAR_829 102 5.330174
JAR_830 20 22.597977
JAR_831 111 52.092834
JAR_832 104 49.571117
JAR_833 22 38.637188
JAR_834 38 49.852264
